date,actual,arima_pred
2016-03-28,9821,12549.483657332961
2016-03-29,9845,11349.46552015106
2016-03-30,9165,11369.250872443528
2016-03-31,9941,11397.959541442056
2016-04-01,11891,12158.738407802832
2016-04-02,14075,15187.43324588944
2016-04-03,15621,15343.903344792696
2016-04-04,11972,12768.347220184933
2016-04-05,10801,11975.997771846365
2016-04-06,10592,11836.984104403058
2016-04-07,10154,11938.422359831884
2016-04-08,11571,12670.036844057702
2016-04-09,15192,15692.191988647619
2016-04-10,15775,15847.519269888113
2016-04-11,11393,13298.696736948921
2016-04-12,10086,12516.525037117142
2016-04-13,9423,12383.872164597798
2016-04-14,9506,12489.329595365369
2016-04-15,10732,13220.33522065744
2016-04-16,13094,16224.222986433153
2016-04-17,14855,16383.312412352765
2016-04-18,11217,13858.982969130595
2016-04-19,10088,13087.757078376422
2016-04-20,9863,12961.06445032192
2016-04-21,9479,13070.656449261116
2016-04-22,10991,13800.997098269941
2016-04-23,13845,16786.78289997464
2016-04-24,14806,16949.595102795756
